DATA_DATE,VALUE,ROLLING_MAX_12M,ROLLING_MIN_12M
2021-11-15,4682.8,4701.7,3009.05
2021-11-16,4700.9,4701.7,3009.05
2021-11-17,4688.67,4701.7,3009.05
2021-11-18,4704.54,4704.54,3009.05
2021-11-19,4697.96,4704.54,3053.24
2021-11-22,4682.94,4704.54,3100.29
2021-11-23,4690.7,4704.54,3115.86
2021-11-24,4701.46,4704.54,3130.01
2021-11-25,,4704.54,3145.32
2021-11-26,4594.62,4704.54,3145.32
2021-11-29,4655.27,4704.54,3145.32
2021-11-30,4567.0,4704.54,3152.05
2021-12-01,4513.04,4704.54,3152.05
2021-12-02,4577.1,4704.54,3155.22
2021-12-03,4538.43,4704.54,3155.22
2021-12-06,4591.67,4704.54,3197.52
2021-12-07,4686.75,4704.54,3215.57
2021-12-08,4701.21,4704.54,3215.57
2021-12-09,4667.45,4704.54,3215.63
2021-12-10,4712.02,4712.02,3215.63
2021-12-13,4668.97,4712.02,3215.63
2021-12-14,4634.09,4712.02,3215.63
2021-12-15,4709.85,4712.02,3215.63
2021-12-16,4668.67,4712.02,3215.63
2021-12-17,4620.64,4712.02,3218.44
2021-12-20,4568.02,4712.02,3218.44
2021-12-21,4649.23,4712.02,3236.92
2021-12-22,4696.56,4712.02,3236.92
2021-12-23,4725.79,4725.79,3236.92
2021-12-24,,4725.79,3236.92
2021-12-27,4791.19,4791.19,3236.92
2021-12-28,4786.35,4791.19,3236.92
2021-12-29,4793.06,4793.06,3236.92
2021-12-30,4778.73,4793.06,3236.92
2021-12-31,4766.18,4793.06,3236.92
2022-01-03,4796.56,4796.56,3236.92
2022-01-04,4793.54,4796.56,3236.92
2022-01-05,4700.58,4796.56,3236.92
2022-01-06,4696.05,4796.56,3236.92
2022-01-07,4677.03,4796.56,3236.92
2022-01-10,4670.29,4796.56,3236.92
2022-01-11,4713.07,4796.56,3236.92
2022-01-12,4726.35,4796.56,3236.92
2022-01-13,4659.03,4796.56,3236.92
2022-01-14,4662.85,4796.56,3236.92
2022-01-17,,4796.56,3236.92
2022-01-18,4577.11,4796.56,3236.92
2022-01-19,4532.76,4796.56,3236.92
2022-01-20,4482.73,4796.56,3236.92
2022-01-21,4397.94,4796.56,3236.92
2022-01-24,4410.13,4796.56,3236.92
2022-01-25,4356.45,4796.56,3236.92
2022-01-26,4349.93,4796.56,3236.92
2022-01-27,4326.51,4796.56,3236.92
2022-01-28,4431.85,4796.56,3236.92
2022-01-31,4515.55,4796.56,3236.92
2022-02-01,4546.54,4796.56,3236.92
2022-02-02,4589.38,4796.56,3236.92
2022-02-03,4477.44,4796.56,3236.92
2022-02-04,4500.53,4796.56,3236.92
2022-02-07,4483.87,4796.56,3236.92
2022-02-08,4521.54,4796.56,3236.92
2022-02-09,4587.18,4796.56,3236.92
2022-02-10,4504.08,4796.56,3236.92
2022-02-11,4418.64,4796.56,3236.92
2022-02-14,4401.67,4796.56,3236.92
2022-02-15,4471.07,4796.56,3236.92
2022-02-16,4475.01,4796.56,3246.59
2022-02-17,4380.26,4796.56,3269.96
2022-02-18,4348.87,4796.56,3269.96
2022-02-21,,4796.56,3269.96
2022-02-22,4304.76,4796.56,3269.96
2022-02-23,4225.5,4796.56,3269.96
2022-02-24,4288.7,4796.56,3269.96
2022-02-25,4384.65,4796.56,3269.96
2022-02-28,4373.94,4796.56,3269.96
2022-03-01,4306.26,4796.56,3269.96
2022-03-02,4386.54,4796.56,3269.96
